Email,Score
Email 433,0.000719
Email 434,0.000128
Email 435,0.000201
Email 436,0.000898
Email 437,0.000164
Email 438,0.000709
Email 439,0.001073
Email 440,0.001448
Email 441,0.001150
Email 442,0.000437
Email 443,0.003805
Email 444,0.000223
Email 445,0.000900
Email 446,0.000999
Email 447,0.001939
Email 448,0.000779
Email 449,0.001044
Email 450,0.000052
Email 451,0.000858
Email 452,0.000406
Email 453,0.000709
Email 454,0.001553
Email 455,0.001713
Email 456,0.000555
Email 457,0.001222
Email 458,0.002073
Email 459,0.001530
Email 460,0.000397
Email 461,0.001672
Email 462,0.000979
Email 463,0.000550
Email 464,0.001163
Email 465,0.001524
Email 466,0.001285
Email 467,0.000952
Email 468,0.000775
Email 469,0.000424
Email 470,0.000852
Email 471,0.000746
Email 472,0.000859
Email 473,0.001872
Email 474,0.001119
Email 475,0.000911
Email 476,0.001422
Email 477,0.000234
Email 478,0.001337
Email 479,0.001007
Email 480,0.000329
Email 481,0.001643
Email 482,0.001115
Email 483,0.000828
Email 484,0.001156
Email 485,0.000375
Email 486,0.001099
Email 487,0.001048
Email 488,0.001068
Email 489,0.000435
Email 490,0.000913
Email 491,0.000136
Email 492,0.002773
Email 493,0.000234
Email 494,0.000532
Email 495,0.000737
Email 496,0.000779
Email 497,0.000768
Email 498,0.000591
Email 499,0.001442
Email 500,0.001254
Email 501,0.000203
Email 502,0.000449
Email 503,0.000249
Email 504,0.001262
Email 505,0.001331
Email 506,0.001173
Email 507,0.000156
Email 508,0.001072
Email 509,0.000497
Email 510,0.001043
Email 511,0.000135
Email 512,0.001425
Email 513,0.000529
Email 514,0.000516
Email 515,0.001607
Email 516,0.000601
Email 517,0.000303
Email 518,0.000635
Email 519,0.000583
Email 520,0.001562
Email 521,0.000400
Email 522,0.001422
Email 523,0.000064
Email 524,0.001483
Email 525,0.000675
Email 526,0.000551
Email 527,0.000666
Email 528,0.001757
Email 529,0.000275
Email 530,0.001757
Email 531,0.000138
Email 532,0.000638
Email 533,0.000564
Email 534,0.000353
Email 535,0.001900
Email 536,0.000671
Email 537,0.000314
Email 538,0.001335
Email 539,0.001160
Email 540,0.001544
Email 541,0.000662
Email 542,0.000783
Email 543,0.001772
Email 544,0.001376
Email 545,0.000080
Email 546,0.000401
Email 547,0.000298
Email 548,0.000144
Email 549,0.000324
Email 550,0.000662
Email 551,0.000481
Email 552,0.002885
Email 553,0.000616
Email 554,0.000082
Email 555,0.000319
Email 556,0.002790
Email 557,0.000322
Email 558,0.002648
Email 559,0.000277
Email 560,0.000334
Email 561,0.000635
Email 562,0.000600
Email 563,0.000445
Email 564,0.000613
Email 565,0.001247
Email 566,0.000429
Email 567,0.000594
Email 568,0.001128
Email 569,0.001000
Email 570,0.001099
Email 571,0.000045
Email 572,0.001227
Email 573,0.001346
Email 574,0.001037
Email 575,0.000266
Email 576,0.000718
Email 577,0.000314
Email 578,0.000874
Email 579,0.000958
Email 580,0.000481
